Building Name,Building Type,Latitude,Longitude,Connected Nodes
Robert M. Bock Laboratories,B;,43.0748589,-89.41112431,174311672-22;174311672-23;174311672-24;174311672-25;412585897-1;403183155-3;403183155-4;403183155-5;403183155-6;265146778-1;265146778-2;38856042-1;38856042-2;38856042-3;38856042-4;38856042-5;38856042-6;38856042-7;38856042-8;403183156-1;403183156-2;403183156-3;403183156-4;265146777-1;265146777-2;6668763-4;6668763-5;38855267-16;38855267-17
Microbial Sciences Building,B;,43.07571806,-89.4119021,38953064-3;38953064-4;299404792-1;299404792-2;189137174-5;189137174-6;189137174-7;189137174-8;189137174-9;295598116-2;295598116-3;295598116-4;295598116-5;295598116-6;295598116-7;299404793-1;299404793-2
Hiram Smith Hall,B;,43.07599268,-89.41157632,299404792-1;299404792-2;189137174-2;189137174-3;189137174-4;189137174-5;189137174-6;189137174-7;189137174-8;189137174-9;189137174-10;189137174-11;189137174-12;440424680-1;440424680-2;295598116-1;295598116-2;295598116-3;295598116-4;295598116-5;295598116-6;295598116-7;295598116-8;295598116-9;295598116-10;295598116-11;295598116-12;295598116-13;295598116-14;295598116-15;295598116-16;295598116-17;295598116-18;38953070-1;38953070-2;38953070-3;299404793-1;299404793-2;403184145-1;403184145-2;6590885-3;6590885-4;6590885-5;6590885-6;6590885-7;6590885-8;6590885-9;6590885-10;6590885-11;6590885-12;38953066-10;38953066-11;38953067-1;38953067-2;295598113-1;295598113-2;295598113-3;295598113-4;295042226-1
Hiram Smith Hall Annex,B;,43.07594376,-89.41132498,299404792-1;189137174-5;189137174-6;189137174-7;189137174-8;189137174-9;189137174-10;189137174-11;189137174-12;189137174-13;189137174-14;189137174-15;440424680-1;440424680-2;295598116-1;295598116-2;295598116-3;295598116-4;295598116-5;295598116-6;295598116-7;295598116-8;295598116-9;295598116-10;295598116-11;295598116-12;295598116-13;295598116-14;295598116-15;295598116-16;295598116-17;295598116-18;38953070-1;38953070-2;38953070-3;38953070-4;38953070-5;38953070-6;38953070-7;38953069-3;38953069-4;38953069-5;38953069-6;38953069-7;38953075-1;38953075-2;38953075-3;38953075-4;299404793-1;6590885-5;6590885-6;6590885-7;6590885-8;6590885-9;6590885-10;6590885-11;6590885-12;6590885-13;6590885-14;6590885-15;38953066-9;38953066-10;38953066-11;38953067-1;38953067-2;295598113-1;295598113-2;295598113-3;295598113-4;295042226-1;295042226-2;295042226-3;295042226-4;295042226-5;295042226-6
Agricultural Engineering,B;,43.07476893,-89.41069101,174311672-25;174311672-26;403183155-1;403183155-2;403183155-3;403183155-4;403183155-5;403183155-6;174361011-8;174361011-9;174361011-10;174361011-11;174361011-12;6719877-1;6719877-2;6719877-3;6719877-4;6719877-5;265146773-1;265146773-2;265146773-3;265146773-4;265146772-1;265146772-2;6719885-10;38856042-8;403183156-1;403183156-2;403183156-3;403183156-4;432707864-1;432707864-2;295173808-1;295173808-2;295173808-3;6719882-1;6719882-2;295173810-1;295173810-2;295173810-3;382211474-1;382211474-2;385379963-1;6668763-6;6668763-7;6668763-8
Stovall Building (Wisconsin State Laboratory of Hygiene),B;,43.0747439,-89.4099,6719877-3;265146773-6;265146773-7;265146773-8;265146773-9;265146772-5;265146772-6;265146772-7;6719885-7;6719885-8;6719885-9;6719885-10;6719885-11;6719885-12;39015627-1;39015627-2;39015617-1;39015617-2;39015617-3;39015617-4;265146774-1;295173806-2;39015625-30;39015625-31;39015625-32;39015625-33;39015625-34;39015625-35;39015625-36;39015625-37;295173808-1;6719882-1;6719882-2;385379963-2;432707859-1;432707859-2;39015626-1;39015626-2;6784613-1;6784613-2;6784613-3;6784613-4;385379975-1;385379975-2;385379975-3;295173807-1;295173807-2;385380032-1;385380032-2;385380032-3;6668763-10;6668763-11;6668763-12;305439325-2
Agricultural Hall,B;,43.07571662,-89.41022821,456466191-2;295598101-1;295598101-2;403184152-1;403184152-2;295598103-1;295598103-2;295598105-1;295598105-2;295598105-3;295598100-1;295598100-2;38855846-1;38855846-2;456466187-1;456466187-2;38855845-1;38855845-2;38953069-1;38953069-2;38953075-8;38953075-9;38953075-10;38953075-11;38953075-12;38953075-13;38953075-14;38953075-15;38953075-16;38953075-17;38953075-18;38953075-19;38953075-20;38953075-21;38953075-22;38953075-23;38953075-24;403186629-1;403186629-2;403186629-3;403186629-4;403186629-5;403186629-6;403186629-7;403186629-8;403186629-9;403186629-10;403186629-11;403186629-12;403186629-13;38953078-7;295042226-7;295042226-8;295042226-9;295042226-10;295042226-11;655399903-1;193574313-1;38953090-14;38953090-15;38953090-16
Agricultural Heating Station,B;,43.07631714,-89.41162328,38953065-4;38953065-5;38953065-6;38226232-1;189137174-1;189137174-2;189137174-3;189137174-4;189137174-5;295598116-1;295598116-16;295598116-17;295598116-18;299404793-1;403184145-1;403184145-2;382201601-1;382201601-2;382201601-3;385379989-1;385379989-2;385379989-3;589676929-1;589676929-2;589676929-3;589676929-4;589676929-5;382201602-1;382201602-2;382201602-3;403184143-1;403184143-2;385380015-1;385380015-2;385380015-3;6590885-1;6590885-2;6590885-3;6590885-4;6590885-5;6590885-6;6590885-7;6590885-8;6590885-9;38953066-1;38953066-2;38953066-3;38953066-4;38953066-5;38953066-6;38953066-7;38953066-8;38953066-9;38953066-10;456466192-1;456466192-2;440424670-1;440424670-2;38226233-1;440424671-2;589676928-10;589676928-11;38226221-5;38226221-6;38226221-7;38226221-8;38226221-9;38226221-10
Soils Building,B;,43.0765036,-89.41129388,295598116-1;295598116-17;295598116-18;589676929-1;589676929-2;382201602-2;382201602-3;403184143-1;403184143-2;385380015-1;385380015-2;385380015-3;6590885-5;6590885-6;6590885-7;6590885-8;6590885-9;6590885-10;38953066-1;38953066-2;38953066-3;38953066-4;38953066-5;38953066-6;38953066-7;38953066-8;38953066-9;38953066-10;38953066-11;38953067-1;295042226-18;295042226-19;295042226-20;456466192-1;456466192-2;440424670-1;440424670-2;878639261-1;878639261-2;385380001-1;385380001-2;385380001-3;440424671-1;440424671-2;440424669-1;440424669-2;440424668-1;440424668-2;440424682-2;440424682-3;402057759-2;589676928-7;589676928-8;589676928-9;589676928-10;589676928-11;38226221-7;38226221-8;38226221-9;38226221-10;38226221-11;38226221-12;38226221-13;385381130-19;385381130-20
Slichter Residence Hall,B;,43.07712598,-89.41222377,37659268-2;382211479-5;382211479-6;38226232-2;37965209-14;37965209-15;189598315-6;189598315-7;189598315-8;37965211-1;37965211-2;37965211-3;385379986-2;385379986-3;382211458-1;382211458-2;382211487-1;382211487-2;382211487-3;382211487-4;382211487-5;382211487-6;382211487-7;382211487-8;382211487-9;403186894-1;403186894-2;403186894-3;403186894-4;403186894-5;403186894-6;38226233-2;38226233-3;38226233-4;38226233-5;38953113-3;38953113-4;38953113-5;38953113-6;295042225-1;295042216-6;295042216-7;295042216-8;295042233-1;295042233-2;295042233-3;382211472-1;299177061-4;299177061-5;385380003-1;385380003-2;37965213-1;37965213-2;37965213-3
